dataset,fold,target,num_features,Model Name,Model Parameters,Val RMS Model,Val RMS Current,Val RMS Compared,Test RMS Model,Test RMS Current,Test RMS Compared
tmp2022_clean_clf,1,az,5,XGB_ds1_tp1_k5_az,"{'colsample_bytree': 0.507295697300798, 'learning_rate': 0.009590880043975177, 'max_depth': 1, 'min_child_weight': 9.0, 'n_estimators': 367, 'subsample': 0.8823730967996392}",2.6271334659323506,2.6932259852419067,0.9754597201750898,2.954606151797734,3.2039447167320025,0.9221776319572106
tmp2022_clean_clf,1,az,10,XGB_ds1_tp1_k10_az,"{'colsample_bytree': 0.500204880298411, 'learning_rate': 0.009584305218036635, 'max_depth': 3, 'min_child_weight': 4.0, 'n_estimators': 252, 'subsample': 0.7096329962444891}",2.6167969832962865,2.6932259852419067,0.9716217642468813,2.973853167017775,3.2039447167320025,0.928184918886828
tmp2022_clean_clf,1,az,20,XGB_ds1_tp1_k20_az,"{'colsample_bytree': 0.5200771323467213, 'learning_rate': 0.006928497547255736, 'max_depth': 2, 'min_child_weight': 8.0, 'n_estimators': 311, 'subsample': 0.8363026455441458}",2.621031211026194,2.6932259852419067,0.9731939411652349,2.966407819958656,3.2039447167320025,0.9258611125426558
tmp2022_clean_clf,1,az,30,XGB_ds1_tp1_k30_az,"{'colsample_bytree': 0.5757160241267925, 'learning_rate': 0.006753544454818263, 'max_depth': 2, 'min_child_weight': 7.0, 'n_estimators': 275, 'subsample': 0.6034762802460303}",2.6259452681853697,2.6932259852419067,0.9750185400611698,2.9629211288831923,3.2039447167320025,0.9247728630927651
tmp2022_clean_clf,1,az,40,XGB_ds1_tp1_k40_az,"{'colsample_bytree': 0.5774670884626733, 'learning_rate': 0.009309679040159868, 'max_depth': 2, 'min_child_weight': 2.0, 'n_estimators': 256, 'subsample': 0.9312577148663146}",2.625007497112794,2.6932259852419067,0.9746703438541994,2.9421976776096215,3.2039447167320025,0.9183047579580709
tmp2022_clean_clf,1,az,50,XGB_ds1_tp1_k50_az,"{'colsample_bytree': 0.5306578211260182, 'learning_rate': 0.006856505380781429, 'max_depth': 1, 'min_child_weight': 6.0, 'n_estimators': 423, 'subsample': 0.7973249741216739}",2.6335799597992633,2.6932259852419067,0.9778533157746561,2.956781873443954,3.2039447167320025,0.9228567078585074
tmp2022_clean_clf,1,el,2,XGB_ds1_tp1_k2_el,"{'colsample_bytree': 0.8576886367432635, 'learning_rate': 0.06355841732038678, 'max_depth': 4, 'min_child_weight': 6.0, 'n_estimators': 21, 'subsample': 0.9078937232932753}",2.433593820678197,2.5680149309824523,0.9476556352213928,2.72394108908897,2.775721596278352,0.9813452086625659
tmp2022_clean_clf,1,el,5,XGB_ds1_tp1_k5_el,"{'colsample_bytree': 0.808312660510054, 'learning_rate': 0.08365691517558245, 'max_depth': 3, 'min_child_weight': 4.0, 'n_estimators': 21, 'subsample': 0.7448829299409342}",2.423598197029649,2.5680149309824523,0.9437632810423134,2.701354243198568,2.775721596278352,0.9732079207152856
tmp2022_clean_clf,1,el,10,XGB_ds1_tp1_k10_el,"{'colsample_bytree': 0.7812778662730767, 'learning_rate': 0.0133454768963641, 'max_depth': 4, 'min_child_weight': 4.0, 'n_estimators': 98, 'subsample': 0.861226544269421}",2.4080149864034195,2.5680149309824523,0.9376950878872728,2.663308843410625,2.775721596278352,0.9595014309005456
tmp2022_clean_clf,1,el,20,XGB_ds1_tp1_k20_el,"{'colsample_bytree': 0.5297127009613529, 'learning_rate': 0.014505210037775839, 'max_depth': 4, 'min_child_weight': 3.0, 'n_estimators': 279, 'subsample': 0.7812809007038861}",2.3840046318929464,2.5680149309824523,0.9283453157263737,2.6880121763708953,2.775721596278352,0.9684012186146276
